department,state,rti_section,response_days
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,9.8
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,54.0
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 6(1) General,43.9
Southern Railway Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,4.6
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,6.8
Chennai Metro Water (CMWSSB),Delhi,Sec 6(1) General,32.1
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,32.9
Reserve Bank of India (RBI),Delhi,Sec 8(1)(j) Privacy,56.1
Southern Railway Headquarters,Delhi,Sec 6(1) General,40.9
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,3.9
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(j) Privacy,45.5
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(j) Privacy,52.3
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(j) Privacy,63.3
Reserve Bank of India (RBI),Karnataka,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,41.8
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,18.1
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 6(1) General,31.3
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 7(1) Life & Liberty,5.6
Reserve Bank of India (RBI),Telangana,Sec 7(1) Life & Liberty,6.8
Reserve Bank of India (RBI),Telangana,Sec 8(1)(j) Privacy,41.6
Greater Chennai Corporation,Delhi,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(j) Privacy,66.3
TANGEDCO (Electricity Board),Karnataka,Sec 6(1) General,29.2
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,61.6
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,3.1
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,23.4
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,76.5
Reserve Bank of India (RBI),Maharashtra,Sec 8(1)(j) Privacy,52.2
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 6(1) General,29.3
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,50.8
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,28.0
Employees Provident Fund Organisation (EPFO),Telangana,Sec 6(1) General,51.7
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,48.1
Southern Railway Headquarters,Telangana,Sec 8(1)(d) Commercial,75.2
Tamil Nadu Police Headquarters,Telangana,Sec 6(1) General,41.0
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,21.9
Reserve Bank of India (RBI),Karnataka,Sec 6(1) General,23.7
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(d) Commercial,53.2
Reserve Bank of India (RBI),Telangana,Sec 8(1)(d) Commercial,54.2
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(j) Privacy,50.1
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(d) Commercial,50.8
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(j) Privacy,55.6
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,6.3
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,43.5
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(d) Commercial,54.3
Chennai Metro Water (CMWSSB),Delhi,Sec 8(1)(j) Privacy,53.6
Southern Railway Headquarters,Delhi,Sec 8(1)(d) Commercial,65.1
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,56.3
Greater Chennai Corporation,Karnataka,Sec 8(1)(d) Commercial,61.5
Greater Chennai Corporation,Delhi,Sec 8(1)(d) Commercial,68.2
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,48.1
Southern Railway Headquarters,Maharashtra,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,36.3
Tamil Nadu Police Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Maharashtra,Sec 8(1)(j) Privacy,75.1
TANGEDCO (Electricity Board),Telangana,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(d) Commercial,49.4
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,30.8
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,57.3
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,40.0
Southern Railway Headquarters,Delhi,Sec 8(1)(j) Privacy,64.4
Southern Railway Headquarters,Karnataka,Sec 6(1) General,39.2
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(d) Commercial,55.7
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(j) Privacy,80.4
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Telangana,Sec 8(1)(j) Privacy,51.4
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,37.3
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,51.4
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(j) Privacy,49.6
Southern Railway Headquarters,Karnataka,Sec 8(1)(d) Commercial,57.5
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 7(1) Life & Liberty,4.7
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,47.3
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 7(1) Life & Liberty,3.6
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(j) Privacy,48.6
Southern Railway Headquarters,Tamil Nadu,Sec 6(1) General,36.8
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(d) Commercial,55.6
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,27.8
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,49.3
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(j) Privacy,43.0
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(d) Commercial,49.5
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,53.2
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,55.3
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(j) Privacy,75.6
Chennai Metro Water (CMWSSB),Delhi,Sec 8(1)(j) Privacy,60.8
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,6.7
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,57.2
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,11.1
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(j) Privacy,48.9
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,23.2
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,60.7
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,26.9
Employees Provident Fund Organisation (EPFO),Telangana,Sec 6(1) General,59.5
Reserve Bank of India (RBI),Maharashtra,Sec 8(1)(j) Privacy,41.6
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 6(1) General,27.7
Southern Railway Headquarters,Delhi,Sec 7(1) Life & Liberty,2.4
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(d) Commercial,93.2
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(j) Privacy,83.4
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 6(1) General,56.0
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(j) Privacy,61.1
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,9.8
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,50.1
Southern Railway Headquarters,Delhi,Sec 8(1)(j) Privacy,71.0
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 6(1) General,28.4
Greater Chennai Corporation,Delhi,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(d) Commercial,43.5
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(d) Commercial,65.6
Southern Railway Headquarters,Delhi,Sec 6(1) General,44.4
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,53.1
Greater Chennai Corporation,Delhi,Sec 6(1) General,52.5
Chennai Metro Water (CMWSSB),Delhi,Sec 6(1) General,31.7
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 6(1) General,33.4
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,57.9
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,4.6
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 6(1) General,47.5
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(j) Privacy,49.5
Chennai Metro Water (CMWSSB),Telangana,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,32.0
Greater Chennai Corporation,Maharashtra,Sec 8(1)(d) Commercial,87.6
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Maharashtra,Sec 6(1) General,25.0
Southern Railway Headquarters,Telangana,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,6.5
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,6.5
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 7(1) Life & Liberty,2.4
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,34.1
Southern Railway Headquarters,Karnataka,Sec 8(1)(d) Commercial,67.9
Greater Chennai Corporation,Telangana,Sec 8(1)(j) Privacy,71.2
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,66.8
Greater Chennai Corporation,Telangana,Sec 6(1) General,44.4
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,2.8
Southern Railway Headquarters,Delhi,Sec 8(1)(d) Commercial,76.5
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(j) Privacy,61.5
Reserve Bank of India (RBI),Telangana,Sec 7(1) Life & Liberty,5.4
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,31.1
Reserve Bank of India (RBI),Telangana,Sec 8(1)(d) Commercial,40.7
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(j) Privacy,55.2
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(j) Privacy,75.3
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,50.3
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,49.7
Southern Railway Headquarters,Maharashtra,Sec 8(1)(d) Commercial,63.1
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(d) Commercial,88.2
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,29.2
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(d) Commercial,58.0
Greater Chennai Corporation,Maharashtra,Sec 8(1)(j) Privacy,58.8
Southern Railway Headquarters,Delhi,Sec 8(1)(j) Privacy,62.2
Southern Railway Headquarters,Karnataka,Sec 6(1) General,47.7
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(j) Privacy,54.9
Reserve Bank of India (RBI),Telangana,Sec 8(1)(j) Privacy,50.2
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,78.0
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(j) Privacy,70.4
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 6(1) General,35.6
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(d) Commercial,50.3
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(d) Commercial,50.2
Southern Railway Headquarters,Tamil Nadu,Sec 6(1) General,47.0
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(d) Commercial,68.5
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(d) Commercial,52.7
Chennai Metro Water (CMWSSB),Telangana,Sec 6(1) General,27.6
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(d) Commercial,46.7
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,27.3
Chennai Metro Water (CMWSSB),Delhi,Sec 6(1) General,33.1
TANGEDCO (Electricity Board),Delhi,Sec 7(1) Life & Liberty,2.0
